"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"357","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2020-12-06,44,19336776,49.2535568323848,36,63,-5.25355683238484,0.227545688071269,0.254714419985963,0.186173744785584,0.325804053374771,-0.0271687319146937,"model 1"
"1100","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-19,50,19653431,49.9300731599297,37,64,0.0699268400703161,0.254408505059498,0.254052705402582,0.188262293744029,0.325642886476158,0.000355799656916475,"model 2"
"2100","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-26,49,19653431,49.9282795540517,37,65,-0.928279554051663,0.249320334958308,0.25404357923078,0.188262293744029,0.330731056577348,-0.00472324427247163,"model 2"
"358","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-02,50,19653431,49.9080048758206,36,65,0.091995124179391,0.254408505059498,0.253940418219193,0.183174123642839,0.330731056577348,0.000468086840304836,"model 2"
"410","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-09,50,19653431,49.8697191514701,36,64,0.130280848529935,0.254408505059498,0.253745613941251,0.183174123642839,0.325642886476158,0.000662891118247675,"model 2"
"510","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-16,51,19653431,49.8141706703426,36,64,1.18582932965742,0.259496675160688,0.253462973820411,0.183174123642839,0.325642886476158,0.00603370134027704,"model 2"
"610","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-23,48,19653431,49.7423722073151,36,64,-1.74237220731507,0.244232164857118,0.253097651027523,0.183174123642839,0.325642886476158,-0.00886548617040491,"model 2"
"710","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-02,49,19653431,49.6555825346172,36,65,-0.655582534617153,0.249320334958308,0.25265605040981,0.183174123642839,0.330731056577348,-0.00333571545150133,"model 2"
"810","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-09,46,19653431,49.5552837281183,36,64,-3.55528372811829,0.234055824654738,0.252145713021397,0.183174123642839,0.325642886476158,-0.0180898883666587,"model 2"
"910","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-16,48,19653431,49.4431548711183,36,64,-1.44315487111835,0.244232164857118,0.251575182323729,0.183174123642839,0.325642886476158,-0.00734301746661102,"model 2"
"1010","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-23,49,19653431,49.3210428302441,36,64,-0.32104283024406,0.249320334958308,0.250953855488358,0.183174123642839,0.325642886476158,-0.00163352053004923,"model 2"
"1110","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-30,52,19653431,49.19093082131,36,64,2.80906917868997,0.264584845261878,0.250291823454694,0.183174123642839,0.325642886476158,0.0142930218071845,"model 2"
"1210","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-06,49,19653431,49.0549054976761,35,64,-0.0549054976760672,0.249320334958308,0.249599703469975,0.178085953541649,0.325642886476158,-0.00027936851166632,"model 2"
"1310","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-13,50,19653431,48.9151232810876,36,63,1.08487671891245,0.254408505059498,0.248888467774851,0.183174123642839,0.320554716374968,0.00552003728464738,"model 2"
"1410","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-20,45,19653431,48.7737766179932,35,64,-3.77377661799324,0.228967654553548,0.248169271909791,0.178085953541649,0.325642886476158,-0.019201617356243,"model 2"
"1510","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-27,42,19653431,48.6330607868107,35,63,-6.63306078681066,0.213703144249979,0.247453285824804,0.178085953541649,0.320554716374968,-0.0337501415748256,"model 2"
"1610","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-04,39,19653431,48.4951418083158,35,63,-9.49514180831579,0.198438633946409,0.24675153060204,0.178085953541649,0.320554716374968,-0.0483128966556312,"model 2"
"1710","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-11,43,19653431,48.3621259274363,35,63,-5.36212592743634,0.218791314351169,0.246074723173966,0.178085953541649,0.320554716374968,-0.0272834088227971,"model 2"
"1810","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-18,44,19653431,48.2360310455461,35,62,-4.23603104554606,0.223879484452358,0.245433130966018,0.178085953541649,0.315466546273778,-0.02155364651366,"model 2"
"1910","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-25,46,19653431,48.1187603929356,35,62,-2.11876039293556,0.234055824654738,0.244836437937659,0.178085953541649,0.315466546273778,-0.0107806132829202,"model 2"
"2010","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-01,52,19653431,48.0120786460478,35,62,3.98792135395217,0.264584845261878,0.244293623062802,0.178085953541649,0.315466546273778,0.0202912221990764,"model 2"
"2110","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-08,54,19653431,47.917590617138,35,62,6.08240938286202,0.274761185464258,0.243812851899182,0.178085953541649,0.315466546273778,0.0309483335650758,"model 2"
"2210","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-15,51,19653431,47.8367225782305,35,62,3.16327742176951,0.259496675160688,0.243401381561471,0.178085953541649,0.315466546273778,0.0160952935992169,"model 2"
"2310","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-22,52,19653431,47.7707062286082,35,62,4.22929377139175,0.264584845261878,0.243065479145134,0.178085953541649,0.315466546273778,0.0215193661167445,"model 2"
"2410","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-29,50,19653431,47.7205652766612,35,62,2.2794347233388,0.254408505059498,0.242810353452592,0.178085953541649,0.315466546273778,0.0115981516069067,"model 2"
"2510","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-06,48,19653431,47.6871045828419,35,62,0.312895417158089,0.244232164857118,0.242640099750735,0.178085953541649,0.315466546273778,0.00159206510638315,"model 2"
"2610","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-13,51,19653431,47.6709018000319,34.975,62,3.32909819996809,0.259496675160688,0.242557657235685,0.177958749289119,0.315466546273778,0.016939017925003,"model 2"
"2710","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-20,52,19653431,47.6723014493159,34,62,4.32769855068408,0.264584845261878,0.242564778889324,0.172997783440459,0.315466546273778,0.0220200663725539,"model 2"
"2810","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-27,50,19653431,47.6914113808973,35,62,2.30858861910266,0.254408505059498,0.242662013471833,0.178085953541649,0.315466546273778,0.0117464915876656,"model 2"
"2910","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-03,54,19653431,47.7281015890844,34,62,6.2718984109156,0.274761185464258,0.242848699492137,0.172997783440459,0.315466546273778,0.0319124859721216,"model 2"
"3010","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-10,52,19653431,47.7820053739876,35,62,4.21799462601243,0.264584845261878,0.243122971118822,0.178085953541649,0.315466546273778,0.0214618741430564,"model 2"
"3110","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-17,49,19653431,47.8525228676375,35,62,1.1474771323625,0.249320334958308,0.243481776121622,0.178085953541649,0.315466546273778,0.00583855883668605,"model 2"
"3210","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-24,46,19653431,47.9388269654669,35,62,-1.93882696546689,0.234055824654738,0.243920906051808,0.178085953541649,0.315466546273778,-0.00986508139706952,"model 2"
"3310","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-31,47,19653431,48.0398717223487,35,62,-1.03987172234873,0.239143994755928,0.244435038962656,0.178085953541649,0.315466546273778,-0.00529104420672771,"model 2"
"3410","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-07,46,19653431,48.1544032827268,35,62,-2.15440328272679,0.234055824654738,0.245017795023814,0.178085953541649,0.315466546273778,-0.010961970369076,"model 2"
"359","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-14,48,19653431,48.2809734142876,35,62,-0.280973414287608,0.244232164857118,0.245661805382926,0.178085953541649,0.315466546273778,-0.00142964052580747,"model 2"
"361","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-21,51,19653431,48.4179557020252,35,63,2.58204429797481,0.259496675160688,0.246358794563785,0.178085953541649,0.320554716374968,0.0131378805969035,"model 2"
"371","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-28,51,19653431,48.5635644330669,35,63,2.4364355669331,0.259496675160688,0.247099676555543,0.178085953541649,0.320554716374968,0.0123969986051448,"model 2"
"381","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-05,52,19653431,48.7158761616098,35,63,3.28412383839015,0.264584845261878,0.247874664538776,0.178085953541649,0.320554716374968,0.016710180723102,"model 2"
"391","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-12,48,19653431,48.8728538879991,36,64,-0.872853887999064,0.244232164857118,0.248673393912743,0.183174123642839,0.325642886476158,-0.00444122905562425,"model 2"
"401","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-19,46,19653431,49.0323737175449,36,63,-3.03237371754489,0.234055824654738,0.249485057939985,0.183174123642839,0.320554716374968,-0.0154292332852462,"model 2"
"411","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-26,44,19653431,49.1922537852743,36,64,-5.19225378527434,0.223879484452358,0.250298554920382,0.183174123642839,0.325642886476158,-0.0264190704680233,"model 2"
"421","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-02,47,19653431,49.3502851455629,36,64,-2.35028514556295,0.239143994755928,0.251102645362853,0.183174123642839,0.325642886476158,-0.0119586506069243,"model 2"
"431","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-09,46,19653431,49.5042642344445,36,64,-3.50426423444453,0.234055824654738,0.251886117159108,0.183174123642839,0.325642886476158,-0.01783029250437,"model 2"
"441","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-16,48,19653431,49.6520264220556,36,64,-1.65202642205564,0.244232164857118,0.252637956304198,0.183174123642839,0.325642886476158,-0.00840579144707935,"model 2"
"451","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-23,51,19653431,49.7914800882799,36,64,1.20851991172012,0.259496675160688,0.253347520279181,0.183174123642839,0.325642886476158,0.00614915488150707,"model 2"
"461","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-30,47,19653431,49.9206405815876,36,65,-2.92064058158759,0.239143994755928,0.254004710839484,0.183174123642839,0.330731056577348,-0.0148607160835561,"model 2"
"471","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-07,47,19653431,50.0376633645349,37,64,-3.03766336453493,0.239143994755928,0.254600142664835,0.188262293744029,0.325642886476158,-0.0154561479089067,"model 2"
"481","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-14,48,19653431,50.1408756141162,37,65,-2.14087561411621,0.244232164857118,0.255125304147231,0.188262293744029,0.330731056577348,-0.0108931392901128,"model 2"
"491","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-21,49,19653431,50.2288055349967,37,65,-1.22880553499668,0.249320334958308,0.255572706541655,0.188262293744029,0.330731056577348,-0.00625237158334685,"model 2"
"501","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-28,49,19653431,50.3002086612784,37,65,-1.30020866127844,0.249320334958308,0.255936017793933,0.188262293744029,0.330731056577348,-0.00661568283562519,"model 2"
"511","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-04,52,19657321,50.364057044925,37,65,1.63594295507502,0.264532486395272,0.256210177597064,0.188225038396636,0.33066560799409,0.00832230879820814,"model 2"
"521","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-11,54,19657321,50.3996983257955,37,65,3.60030167420448,0.27470681279509,0.256391490609506,0.188225038396636,0.33066560799409,0.0183153221855841,"model 2"
"531","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-18,55,19657321,50.4166438556065,37,65,4.58335614439348,0.279793975994999,0.256477695285164,0.188225038396636,0.33066560799409,0.0233162807098357,"model 2"
"541","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-25,58,19657321,50.4147392795443,37,65,7.58526072045569,0.295055465594727,0.256468006395909,0.188225038396636,0.33066560799409,0.038587459198818,"model 2"
"551","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-01,55,19657321,50.3941233989539,37,65,4.60587660104606,0.279793975994999,0.256363130046836,0.188225038396636,0.33066560799409,0.0234308459481638,"model 2"
"561","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-08,53,19657321,50.3552256322582,37,65,2.64477436774184,0.269619649595181,0.256165250759542,0.188225038396636,0.33066560799409,0.0134543988356391,"model 2"
"571","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-15,52,19657321,50.2987580579504,37,65,1.70124194204958,0.264532486395272,0.255877990993536,0.188225038396636,0.33066560799409,0.00865449540173647,"model 2"
"581","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-22,52,19657321,50.2257022651628,37,64,1.77429773483718,0.264532486395272,0.255506344252927,0.188225038396636,0.325578444794181,0.00902614214234573,"model 2"
"591","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-03-01,50,19657321,50.1372913794577,37,65,-0.137291379457743,0.254358159995454,0.255056583648696,0.188225038396636,0.33066560799409,-0.000698423653242183,"model 2"
"601","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-03-08,51,19657321,50.0349877566158,36.975,65,0.965012243384152,0.259445323195363,0.254536148423358,0.188097859316638,0.33066560799409,0.00490917477200556,"model 2"
"611","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-03-15,55,19657321,49.9204569400041,37,65,5.07954305999593,0.279793975994999,0.253953511467835,0.188225038396636,0.33066560799409,0.0258404645271649,"model 2"
"621","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-03-22,55,19657321,49.7955385537381,36,64,5.20446144626192,0.279793975994999,0.25331803125023,0.183137875196727,0.325578444794181,0.0264759447447693,"model 2"
"631","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-03-29,54,19657321,49.6622148520719,36.975,64,4.33778514792812,0.27470681279509,0.252639791821438,0.188097859316638,0.325578444794181,0.0220670209736521,"model 2"
"641","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-04-05,53,19657321,49.5225776647315,36,64,3.47742233526854,0.269619649595181,0.251929434660661,0.183137875196727,0.325578444794181,0.01769021493452,"model 2"
"651","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-04-12,54,19657321,49.3787944693672,36,64,4.62120553063278,0.27470681279509,0.251197986080439,0.183137875196727,0.325578444794181,0.0235088267146514,"model 2"
"661","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-04-19,52,19657321,49.2330742885418,36,64,2.76692571145819,0.264532486395272,0.25045668373906,0.183137875196727,0.325578444794181,0.0140758026562124,"model 2"
"671","New York","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-04-26,50,19657321,49.0876340534721,36,63,0.912365946527878,0.254358159995454,0.249716805527427,0.183137875196727,0.320491281594272,0.00464135446802684,"model 2"
